{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'P'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L 
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'P'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'P'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L 
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'P'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
{'status': 'success', 'result_count': 3, 'detailed_results': [['random forest', 'L'], ['cues and spelling', 'L'], ['blacklists', 'L']]} L
